06:34:08 | DEBUG    | MainThread | Accept-Encoding configured as: gzip, deflate
06:34:08 | INFO     | MainThread | [1/100] https://www.skeleton.dev/docs/svelte/get-started/installation/sveltekit
06:34:08 | DEBUG    | MainThread | Starting new HTTPS connection (1): www.skeleton.dev:443
06:34:08 | DEBUG    | MainThread | https://www.skeleton.dev:443 "GET /docs/svelte/get-started/installation/sveltekit HTTP/1.1" 200 None
06:34:08 | DEBUG    | MainThread | Created directory Skeleton UI Sveltekit
06:34:08 | DEBUG    | MainThread | Queue asset: https://www.skeleton.dev/ -> Skeleton UI Sveltekit/index
06:34:08 | DEBUG    | MainThread | Created directory Skeleton UI Sveltekit/_astro
06:34:08 | DEBUG    | MainThread | Queue asset: https://www.skeleton.dev/_astro/favicon.oeNx7Nna.png -> Skeleton UI Sveltekit/_astro/favicon.oeNx7Nna.png
06:34:08 | DEBUG    | MainThread | Queue asset: https://www.skeleton.dev/sitemap-index.xml -> Skeleton UI Sveltekit/sitemap-index.xml
06:34:08 | DEBUG    | MainThread | [EXT-ASSET] events.plygrnd.org
06:34:08 | DEBUG    | DL-3 | Starting new HTTPS connection (2): www.skeleton.dev:443
06:34:08 | DEBUG    | MainThread | Created directory Skeleton UI Sveltekit/cdn/events.plygrnd.org/js
06:34:08 | DEBUG    | MainThread | Queue asset: https://events.plygrnd.org/js/script.outbound-links.js -> Skeleton UI Sveltekit/cdn/events.plygrnd.org/js/script.outbound-links.js
06:34:08 | DEBUG    | MainThread | Queue asset: https://www.skeleton.dev/_astro/ClientRouter.astro_astro_type_script_index_0_lang.Cmlbmn61.js -> Skeleton UI Sveltekit/_astro/ClientRouter.astro_astro_type_script_index_0_lang.Cmlbmn61.js
06:34:08 | DEBUG    | MainThread | Queue asset: https://www.skeleton.dev/_astro/header.D2DUVJZk.css -> Skeleton UI Sveltekit/_astro/header.D2DUVJZk.css
06:34:08 | DEBUG    | DL-1 | Starting new HTTPS connection (3): www.skeleton.dev:443
06:34:08 | DEBUG    | MainThread | Queue asset: https://www.skeleton.dev/_astro/page.jgkriD1N.js -> Skeleton UI Sveltekit/_astro/page.jgkriD1N.js
06:34:08 | DEBUG    | MainThread | [EXT-ASSET] themes.skeleton.dev
06:34:08 | DEBUG    | MainThread | [EXT-ASSET] www.etesie.dev
06:34:08 | DEBUG    | DL-5 | Starting new HTTPS connection (1): events.plygrnd.org:443
06:34:08 | DEBUG    | DL-6 | Starting new HTTPS connection (4): www.skeleton.dev:443
06:34:08 | DEBUG    | DL-7 | Starting new HTTPS connection (5): www.skeleton.dev:443
06:34:08 | DEBUG    | MainThread | [EXT-ASSET] www.etesie.dev
06:34:08 | DEBUG    | DL-4 | Starting new HTTPS connection (6): www.skeleton.dev:443
06:34:08 | DEBUG    | MainThread | [EXT-ASSET] themes.skeleton.dev
06:34:08 | DEBUG    | MainThread | [EXT-ASSET] v3.skeleton.dev
06:34:08 | DEBUG    | MainThread | [EXT-ASSET] v2.skeleton.dev
06:34:08 | DEBUG    | MainThread | [EXT-ASSET] v1.skeleton.dev
06:34:08 | DEBUG    | MainThread | [EXT-ASSET] github.com
06:34:08 | DEBUG    | MainThread | [EXT-ASSET] ko-fi.com
06:34:08 | DEBUG    | MainThread | [EXT-ASSET] github.com
06:34:08 | DEBUG    | MainThread | [EXT-ASSET] discord.gg
06:34:08 | DEBUG    | MainThread | [EXT-ASSET] bsky.app
